,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
123,englewood,,2016-03-08 04:52:50,2,1,"This was a profile on my son almost 4 years ago: ""Some Englewood Parents Succeeding, Despite Atmosphere Of Violence https://t.co/PKA77LoIRx"""
124,englewood,,2016-03-08 02:51:25,0,0,#GreatinEnglewood Alert - Englewood Groups Unite to Help Flint Water Crisis Victims via @DNAinfoCHI https://t.co/w8GnVHwOtB
125,englewood,,2016-03-08 00:25:57,0,2,RT @mina_bloom_: should abandoned bldgs be demolished or rehabbed? powerful quote in @AndreaVWatson12 story: https://t.co/9LgveAXJTt https:…
126,englewood,,2016-03-08 00:20:05,0,0,For Updates &amp; more... Visit LouDGangUSA https://t.co/mxSwQnpmg4 #LouDGangUSA #Chicago #music #Englewood #rap #hiphop #greencrack #RT
127,englewood,,2016-03-07 21:46:44,1,0,Step IT Up America Program to Train and Employ Minority Women in Chicago via @DNAinfoCHI https://t.co/AwcARFkko9
128,englewood,,2016-03-07 21:20:54,0,2,RT @SCFJobs: We're always thrilled to connect talent to great careers like @StepITUpAmerica @AndreaVWatson12 https://t.co/dnMopZrpDy @DNAin…
129,englewood,,2016-03-07 21:16:19,1,2,We're always thrilled to connect talent to great careers like @StepITUpAmerica @AndreaVWatson12 https://t.co/dnMopZrpDy @DNAinfoChi
130,englewood,,2016-03-07 20:15:22,0,0,"Just posted a video @ Chicago (Englewood neighborhood), Illinois https://t.co/DAkhSfS3SD"
131,englewood,"{'type': 'Point', 'coordinates': [-87.6297982, 41.8781136]}",2016-03-07 20:05:38,0,0,"Fresenius Medical Care #Job: Hemodialysis Registered Nurse - Englewood - Chicago, IL (#Chicago, IL) https://t.co/mFXWHmsMto #dialysis #Jobs"
132,englewood,,2016-03-07 19:11:50,0,3,RT @MBMHMC: Lunch in Englewood at #DreamCafe  #englewood #city #Chicago #eatlocal #NoFranchisesThisIsChicago  @DreamCafeGrille https://t.co…
133,englewood,,2016-03-07 17:52:40,0,0,Step IT Up America Program to Train and Employ Minority Women in Chicago via @DNAinfoCHI https://t.co/GsHGNgk3GK
134,englewood,,2016-03-07 15:54:08,0,0,Calling All Englewood Residents - Englewood Village Meeting - March 15th! on Mar 15 https://t.co/h5eJPzStRP via @everyblock
135,englewood,,2016-03-07 14:48:24,0,2,"RT @ApostolosMC: Apostolos team has made it safe &amp; sound! Please keep us in your prayers as we serve in Englewood, Chicago this week! https…"
136,englewood,,2016-03-07 14:41:11,0,2,"RT @ApostolosMC: Apostolos team has made it safe &amp; sound! Please keep us in your prayers as we serve in Englewood, Chicago this week! https…"
137,englewood,,2016-03-07 13:10:41,0,0,Step IT Up America Program to Train and Employ Minority Women in Chicago: More than 40 percent of the unemploy... https://t.co/5Ome94rLmr
138,englewood,,2016-03-07 13:04:04,1,0,Shout out to #Chicago! Cafe owners hope to build up heart of Englewood with #healthier food https://t.co/KMoOfdduBe
139,englewood,,2016-03-07 03:49:32,8,2,"Apostolos team has made it safe &amp; sound! Please keep us in your prayers as we serve in Englewood, Chicago this week! https://t.co/vZEy1BIiIM"
140,englewood,,2016-03-07 02:39:41,0,0,@malcolmkenyatta when you drive through Englewood in Chicago you may feel ghetto by its definition of segregated and isolated.
141,englewood,,2016-03-07 02:08:49,0,6,"RT @PDX_For_Bernie: #BernieSanders arrest. I grew up on the Southside of Chicago, Englewood is no punk. This man cares. #SCPrimary https://…"
142,englewood,,2016-03-07 00:19:54,0,0,For Updates &amp; more... Visit LouDGangUSA https://t.co/AvFeDYyUTH #LouDGangUSA #Chicago #music #Englewood #rap #hiphop #greencrack #RT
143,englewood,,2016-03-07 00:02:19,0,0,"Famous Dex Talks Englewood Chicago, The Sauce Factory, Houston Music Scene &amp; More https://t.co/nRFqDQVoKE"
144,englewood,,2016-03-06 19:40:21,0,0,Never knew ROBLOX was h00d enough to let games like these exist https://t.co/6o1A9sEkOw https://t.co/UVlDOKbvCY
145,englewood,,2016-03-06 19:03:14,2,1,"Peyton Manning To Retire After 18 NFL Seasons: ENGLEWOOD, Colo. (AP) — Peyton Manning… https://t.co/Oxa5zClRL8"
146,englewood,,2016-03-06 16:34:11,0,1,"RT @IL_4Bernie: When Chicago tried to use a run-down warehouse as a public school for Englewood residents and allies, including... https://…"
147,englewood,,2016-03-06 16:19:22,2,1,"When Chicago tried to use a run-down warehouse as a public school for Englewood residents and allies, including... https://t.co/eMgKy0aU9X"
148,englewood,,2016-03-06 15:01:38,2,0,Early Sunday morning meeting on pro bono project im working on. Bringing healthy alternatives to Englewood. #Chicago #health #MyCity
149,englewood,,2016-03-06 14:26:11,0,0,Atlanta I Introduced Yall To The Hottest Independent Artist Out Of Englewood Chicago Who Go By… https://t.co/I5Lko8TBTI
150,englewood,,2016-03-06 06:19:16,0,0,"Spike Lee Calls Chance the Rapper 'Fraud,' Rips Local Critics of 'Chi-Raq' via @DNAinfoCHI https://t.co/37t4Bb90LG"
151,englewood,,2016-03-06 06:06:37,0,0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/sP3DShqofi
152,englewood,,2016-03-06 05:07:02,0,0,Motivation of a mogul. #CHICAGO #Englewood #Bando #chh #trap https://t.co/HOSfbBfopW https://t.co/NN5sqRKORh
153,englewood,,2016-03-06 03:53:16,0,0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/qSrzyFOpe6
154,englewood,,2016-03-06 03:11:50,0,0,Englewood is east side of Chicago? Who knew...#NBAonABC
155,englewood,,2016-03-06 02:46:28,0,1,RT @Kennysommer: #Nabisco think that's how you spell the company that is closing it's plant in a jobs needed Part of #Chicago Englewood. Ne…
156,englewood,,2016-03-06 02:42:42,0,0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/52HQrxwcZ3
157,englewood,,2016-03-06 02:27:58,0,0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night via @DNAinfoCHI https://t.co/gpFHDpDvVx
158,englewood,,2016-03-06 00:51:03,0,0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night via @DNAinfoCHI https://t.co/qxJ8mXNDAK
159,englewood,,2016-03-06 00:22:22,0,0,For Updates &amp; more... Visit LouDGangUSA https://t.co/IsjQ5FUpNn #LouDGangUSA #Chicago #music #Englewood #rap #hiphop #greencrack #RT
160,englewood,,2016-03-05 23:11:38,0,0,"Famous Dex Talks Englewood Chicago, The Sauce Factory, Houston Music Scene &amp; More https://t.co/z0TeCcQm2h"
161,englewood,,2016-03-05 22:43:21,0,0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/t9UEPpGafs
162,englewood,,2016-03-05 21:38:30,2,1,#Nabisco think that's how you spell the company that is closing it's plant in a jobs needed Part of #Chicago Englewood. Need 2 boycott them.
163,englewood,,2016-03-05 20:01:54,1,0,"Please be safe everyone:
https://t.co/leF8gvWW8q"
164,englewood,,2016-03-05 19:55:22,0,0,SPIKE LEE NEEDS TO BE DONE TALKING ABOUT WOMEN  https://t.co/7sSdHSnqKS
165,englewood,,2016-03-05 18:28:12,0,0,SMH. If you don't know you're damned if you do know you're damned and informed.. https://t.co/5Dr1fNj37a
166,englewood,,2016-03-05 17:49:21,0,0,"Nailed it @ West Englewood, Chicago https://t.co/gAmBgcI0eC"
167,englewood,,2016-03-05 16:55:18,0,0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/8WwMQ86mB6
168,englewood,,2016-03-05 16:08:04,1,0,"Retweeted LISC Chicago (@LISCChicago):

Greater Englewood homeowners that purchased a $1 @largelots - Apply for a... https://t.co/ZSOcXcQxTH"
169,englewood,,2016-03-05 15:51:02,0,0,For all y'all drunk drivers https://t.co/h6tln2dwXD
170,englewood,,2016-03-05 07:57:10,0,0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/2QrH6u7qTM
171,englewood,,2016-03-05 05:11:26,0,0,Police Plan DUI Checkpoint on Dan Ryan Saturday Night https://t.co/Vo9GUXMNIx
172,englewood,,2016-03-05 04:03:01,0,2,"RT @CSTbreaking: Man wounded in Englewood drive-by shooting
https://t.co/rtfC5jY1Vh"
173,englewood,,2016-03-05 03:58:33,0,2,"RT @CSTbreaking: Man wounded in Englewood drive-by shooting
https://t.co/rtfC5jY1Vh"
174,englewood,,2016-03-05 03:56:58,0,2,"Man wounded in Englewood drive-by shooting
https://t.co/rtfC5jY1Vh"
